density,response,order,variable,type,group,value
0.1,Percent error,15,ACS x CM 1S+1M +2,Interaction,CI,18.566
0.1,Percent error,16,TRS x CM 1S+1M +2,Interaction,CI,16.171
0.1,Percent error,17,ACS x CM 1S+2,Interaction,CI,14.986
0.1,Percent error,18,TRS x CM 1S+2,Interaction,CI,13.73
0.1,Percent error,19,ACS x CM Ran,Interaction,CI,9.954
0.1,Percent error,20,TRS x CM Ran,Interaction,CI,4.703
0.1,Percent error,21,ACS x Poisson,Interaction,CI,14.663
0.1,Percent error,22,TRS x Poisson,Interaction,CI,9.619
7,Percent error,1,Intercept,Intercept,CI,4.188
7,Percent error,2,TRS,Sampling method,CI,0.433
7,Percent error,3,CM 1S,Spatial distribution,CI,7.764
7,Percent error,4,CM 1S+1M,Spatial distribution,CI,6.873
7,Percent error,5,CM 1S+1M+2,Spatial distribution,CI,5.264
7,Percent error,6,CM 1S+2,Spatial distribution,CI,9.648
7,Percent error,7,CM Ran,Spatial distribution,CI,17.685
7,Percent error,8,Poisson,Spatial distribution,CI,10.6
7,Percent error,9,TRS x CM 1S,Interaction,CI,1.602
7,Percent error,10,TRS x CM 1S+1M,Interaction,CI,0.944
7,Percent error,11,TRS x CM 1S+1M +2,Interaction,CI,-0.485
7,Percent error,12,TRS x 1S+2,Interaction,CI,-0.673
7,Percent error,13,TRS x CM Ran,Interaction,CI,0.277
7,Percent error,14,TRS x Poisson,Interaction,CI,-0.9
0.1,CV,1,Intercept,Intercept,CI,42.869
0.1,CV,2,Search effort,Search effort,CI,-0.149
0.1,CV,3,ACS,Sampling method,CI,2.439
0.1,CV,4,TRS,Sampling method,CI,0.097
0.1,CV,5,CM 1S,Spatial distribution,CI,0.709
0.1,CV,6,CM 1S+1M,Spatial distribution,CI,0.238
0.1,CV,7,CM 1S+1M+2,Spatial distribution,CI,-0.021
0.1,CV,8,CM 1S+2,Spatial distribution,CI,0.306
0.1,CV,9,CM Ran,Spatial distribution,CI,1.61
0.1,CV,10,Poisson,Spatial distribution,CI,0.397
0.1,CV,11,ACS x CM 1S,Interaction,CI,0.496
0.1,CV,12,TRS x CM 1S,Interaction,CI,1.096
0.1,CV,13,ACS x CM 1S+1M,Interaction,CI,0.791
0.1,CV,14,TRS x CM 1S+1M,Interaction,CI,1.237
0.1,CV,15,ACS x CM 1S+1M +2,Interaction,CI,1.114
0.1,CV,16,TRS x CM 1S+1M +2,Interaction,CI,1.653
0.1,CV,17,ACS x 1S+2,Interaction,CI,0.788
0.1,CV,18,TRS x 1S+2,Interaction,CI,1.222
0.1,CV,19,ACS x CM Ran,Interaction,CI,-0.012
